OffspringID,InferredDad,InferredMum,Probability
KCHILGMR21p_169,KTAHI20_63,#,1
KCHILGMR21p_170,*,KTAHI20_176,1
KCHILGMR21p_171,*,#,1
KCHILGMR21p_172,*,#,1
KCHILGMR21p_173,*,KCHILGN20_120,1
KCHILGMR21p_174,*,KTAHI20_112,1
KCHILGMR21p_175,*,#,1
KCHILGMR21p_177,*,#,1
KCHILGMR21p_178,*,#,1
KCHILGMR21p_179,*,#,1
KCHILGMR21p_180,KCHILGN20_94,#,1
KCHILGMR21p_181,*,#,1
KCHILGMR21p_182,*,KTAHI20_168,1
KCHILGMR21p_183,*,#,1
KCHILGMR21p_184,*,#,1
KCHILGMR21p_185,*,#,1
KCHILGMR21p_186,*,#,1
KCHILGMR21p_188,*,#,1
KCHILGMR21p_189,*,KTAHI20_39,1
KCHILGMR21p_190,KCHILFW20_15,#,1
KCHILGMR21p_191,KTAHI20_184,#,1
KCHILGMR21p_192,*,KTAHI20_37,1
KCHILGMR21p_193,*,#,1
KCHILGMR21p_194,*,KTAHI20_191,1
KCHILGMR21p_195,*,KTAHI20_194,1
KCHILGMR21p_196,*,#,1
KCHILGMR21p_197,*,#,1
KCHILGMR21p_198,KCHILGN20_19,#,1
KCHILGMR21p_199,*,KTAHI20_77,1
KCHILGMR21p_200,*,#,1
KCHILGMR21p_201,*,#,1
KCHILGMR21p_202,*,#,1
KCHILGMR21p_203,*,#,1
KCHILGMR21p_204,*,#,1
KCHILGMR21p_205,*,#,1
KCHILGMR21p_206,*,#,1
KCHILGMR21p_207,*,KTAHI20_176,1
KCHILGMR21p_208,*,#,1
KCHILGMR21p_209,*,#,1
KCHILGMR21p_210,*,#,1
KCHILGMR21p_211,*,#,1
KCHILGMR21p_212,*,KTAHI20_196,1
KCHILGMR21p_213,*,#,1
KCHILGMR21p_214,KCHILGN20_126,KTAHI20_168,1
KCHILGMR21p_215,*,KTAHI20_84,1
KCHILGMR21p_216,*,#,1
KCHILGMR21p_217,*,#,1
KCHILGMR21p_218,*,#,1
KCHILGMR21p_219,KTAHI20_157,#,1
KCHILGMR21p_220,*,#,1
KCHILGMR21p_221,*,#,1
KCHILGMR21p_222,*,#,1
KCHILGMR21p_223,*,KTAHI20_189,1
KCHILGMR21p_224,*,KTAHI20_183,1
KCHILGMR21p_225,*,KTAHI20_191,1
KCHILGMR21p_226,*,#,1
KCHILGMR21p_227,KTAHI20_158,KCHILGN20_120,1
KCHILGMR21p_228,*,#,1
KCHILGMR21p_229,*,#,1
KCHILGMR21p_230,*,#,1
KCHILGMR21p_231,*,#,1
KCHILGMR21p_232,*,#,1
KCHILGMR21p_234,*,#,1
KCHILGMR21p_235,*,#,1
KCHILGMR21p_236,KTAHI20_190,#,1
KCHILGMR21p_237,*,#,1
KCHILGMR21p_238,*,KCHILFW20_144,1
KCHILGMR21p_239,*,#,1
KCHILGMR21p_240,*,#,1
KCHILGMR21p_241,*,#,1
KCHILGMR21p_242,*,KCHILFW20_49,1
KCHILGMR21p_243,*,#,1
KCHILGMR21p_244,KCHILGN20_52,#,1
KCHILGMR21p_245,*,#,1
KCHILGMR21p_246,*,#,1
KCHILGMR21p_247,*,KTAHI20_204,1
KCHILGMR21p_248,*,#,1
KCHILGMR21p_249,KCHILGN20_33,KCHILFW20_60,1
KCHILGMR21p_250,KTAHI20_172,#,1
KCHILGMR21p_251,*,#,1
KCHILGMR21p_252,*,#,1
KCHILGMR21p_253,*,#,1
KCHILGMR21p_254,KTAHI20_96,KCHILGN20_48,1
KCHILGMR21p_255,*,#,1
KCHILGMR21p_256,*,#,1
KCHILGMR21p_257,*,#,1
KCHILGMR21p_258,*,#,0.3934
KCHILGMR21p_258,*,KKELS20_72,0.3235
KCHILGMR21p_259,KKELS20_17,#,1
KCHILGMR21p_260,*,#,1
KCHILGMR21p_261,KCHILGN20_126,KTAHI20_168,1
KCHILGMR21p_262,*,#,1
KCHILGMR21p_263,*,KCHILGN20_148,1
KCHILGMR21p_264,*,#,1
KCHILGMR21p_265,KTAHI20_92,#,1
KCHILGMR21p_266,*,#,1
KCHILGMR21p_267,*,#,1
KCHILGMR21p_268,KCHILFW20_94,#,1
KCHILGMR21p_269,*,KKELS20_43,1
KCHILGMR21p_270,KTAHI20_6,#,1
KCHILGMR21p_271,*,#,1
KCHILGMR21p_273,*,#,1
KCHILGMR21p_274,*,#,1
KCHILGMR21p_275,*,#,1
KCHILGMR21p_276,*,#,1
KCHILGMR21p_277,*,#,1
KCHILGMR21p_278,KKELS20_67,#,1
KCHILGMR21p_279,*,#,1
KCHILGMR21p_280,*,#,1
KCHILGMR21p_281,*,KTAHI20_47,1
KCHILGMR21p_282,*,#,1
KCHILGMR21p_283,*,#,1
KCHILGMR21p_284,*,#,1
KCHILGMR21p_285,*,#,1
KCHILGMR21p_286,*,#,1
KCHILGMR21p_287,*,#,1
KCHILGMR21p_288,KCHILGN20_27,#,1
KCHILGMR21p_289,*,#,1
KCHILGMR21p_290,*,#,1
KCHILGMR21p_291,*,#,1
KCHILGMR21p_292,*,#,1
KCHILGMR21p_293,*,KCHILGN20_83,1
KCHILGMR21p_294,*,KTAHI20_115,1
KCHILGMR21p_295,*,KTAHI20_115,1
KCHILGMR21p_296,*,#,1
KCHILGMR21p_297,*,KTAHI20_168,1
KCHILGMR21p_298,*,#,1
KCHILGMR21p_299,*,#,1
KCHILGMR21p_300,*,#,1
KCHILGMR21p_301,*,KCHILGN20_49,1
KCHILGMR21p_302,*,KCHILFW20_82,1
KCHILGMR21p_303,*,#,1
KCHILGMR21p_304,KCHILGN20_38,#,1
KCHILGMR21p_305,*,KCHILGN20_157,1
KCHILGMR21p_306,*,#,1
KCHILGMR21p_307,*,#,1
KCHILGMR21p_308,KTAHI20_211,#,1
KCHILGMR21p_309,*,#,1
KCHILGMR21p_310,KTAHI20_198,#,1
KCHILGMR21p_311,*,#,1
KCHILGMR21p_312,*,#,1
KCHILGMR21p_313,*,#,1
KCHILGMR21p_314,*,#,1
KCHILGMR21p_315,*,#,1
KCHILGMR21p_316,*,#,1
KCHILGMR21p_317,*,#,1
KCHILGMR21p_318,*,#,1
KCHILGMR21p_319,*,#,1
KCHILGMR21p_320,*,#,1
KCHILGMR21p_321,*,#,1
KCHILGMR21p_322,*,#,1
KCHILGMR21p_323,*,#,1
KCHILGMR21p_324,KCHILFW20_42,#,1
KCHILGMR21p_325,KKELS20_27,KKELS20_23,1
KCHILGMR21p_326,*,#,1
KCHILGMR21p_327,*,KCHILGN20_131,1
KCHILGMR21p_328,*,#,1
KCHILGMR21p_329,*,#,1
KCHILGMR21p_330,*,#,1
KCHILGMR21p_331,KTAHI20_65,#,1
KCHILGMR21p_332,*,KTAHI20_115,1
KCHILGMR21p_333,KKELS20_28,#,1
KCHILGMR21p_334,*,KTAHI20_69,1
KCHILGMR21p_335,*,#,1
KCHILGMR21p_336,*,#,1
KCHILGMR21p_337,*,#,1
KCHILGMR21p_338,*,#,1
KCHILGMR21p_339,KKELS20_83,#,1
KCHILGMR21p_340,*,#,1
